adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/ba9TgAO4I8RyA2LljzR3MspHaM9.jpg,"[28, 878, 53]",799155,hi,Attack,"With the Parliament under siege, India’s first super soldier Arjun Shergill is tasked to get hold of the terrorists in the nick of time, save the Prime Minister from their clutches and stop a dirty bomb from exploding and destroying Delhi. Will Arjun succeed in his mission?",335.879,/5jGKbYuZtdxSNOocI6ZziQeiY4n.jpg,2022-04-01,Attack,False,6.739,155
False,/uBz7ji0Zw3vX99WH31rHFG5X0Az.jpg,"[28, 18]",845861,hi,State of Siege: Temple Attack,"Based on the true incident of the 2002 terrorist attack in Gujarat's Akshardham temple, the story revolves around the bravery of NSG commandos, who stood up for their country and their people in the worst of times.",116.723,/ckghAN8FuYY2icUyJjVkKXiBrek.jpg,2021-07-09,State of Siege: Temple Attack,False,6.1,30
False,/S3EIcOUQYxgd3QzjOo2rZJ2MN8.jpg,"[28, 18, 10752]",554600,hi,Uri: The Surgical Strike,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",95.871,/yNySAgpAnWmPpYinim9E0tUzJWG.jpg,2019-01-11,Uri: The Surgical Strike,False,7.1,364
False,/6rTrCynWuYyUgLiCOZbFgFDgXb6.jpg,"[53, 27]",1187619,hi,शैतान,A timeless tale of battle between good and evil with a family embodying the forces of righteousness while a man symbolizes malevolence.,53.085,/oRvFzcagAcC6Q317xtV7QXzwBnj.jpg,2024-03-08,Shaitaan,False,0.0,0
False,/5LtSjMNw6j3LkG29Oa4O0iY5U8.jpg,"[28, 12, 53]",872906,hi,जवान,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.",64.564,/bilZfvrrM1YEICmj5DYVEGmGxod.jpg,2023-09-07,Jawan,False,7.231,197
False,/pwBtk8ngoMtqn0qv8j1feSFTKUn.jpg,"[28, 80, 18]",781732,hi,Animal,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,60.123,/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg,2023-12-01,Animal,False,6.7,79
False,/2QL5j6mB4ZpyBcVr0WO9H9MQGBu.jpg,"[28, 12, 14]",734253,hi,आदिपुरुष,"7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.",53.761,/kpuOeWclbtLU414Txv8ZT6HoZ0k.jpg,2023-06-16,Adipurush,False,5.2,74
False,/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg,"[35, 18, 10749]",19404,hi,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",38.704,/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,1995-10-20,Dilwale Dulhania Le Jayenge,False,8.533,4355
False,/yrO8MHXReLdvKhf1qtSjSrpm7gE.jpg,"[18, 80]",1227136,hi,भक्षक,A struggling local journalist begins a dogged investigation into harrowing cases of abuse being covered up at a shelter for young girls.,35.89,/2eCELoyf0l3njFKfn3oddo3JaRG.jpg,2024-02-08,Bhakshak,False,7.833,15
False,/5qjbu7po6eqLNd4kUPAyIpFRwQK.jpg,"[18, 10751, 35, 28]",360814,hi,दंगल,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",29.413,/cJRPOLEexI7qp2DKtFfCh7YaaUG.jpg,2016-12-21,Dangal,False,7.927,900
False,/6RV2o8PBCEyw9ylOWViV1CtULIF.jpg,"[18, 36]",1163258,hi,12th Fail,"Based on the true story of IPS officer Manoj Kumar Sharma, 12th Fail sheds limelight on fearlessly embracing the idea of restarting the academic journey despite the setbacks and challenges and reclaiming one's destiny at a place where millions of students attempt the world's toughest competitive exam: UPSC.",31.075,/cDWW5l4NTWtQi9McwevrY3knsTd.jpg,2023-10-27,12th Fail,False,8.4,69
False,/3GnSb19ePZSqpoS4jFfCm5gf054.jpg,"[35, 18]",960876,hi,डंकी,"Four friends from a sleepy little village in Punjab share a common dream: to go to England. Their problem is that they have neither the visa nor the ticket. A soldier alights from a train one day, and their lives change. He gives them a soldier's promise: He will take them to the land of their dreams. What follows is a hilarious and heartwarming tale of a perilous journey through the desert and the sea, but most crucially through the hinterlands of their mind.",41.027,/kPRb1mbVHGop0egQ7153y0lhzGL.jpg,2023-12-21,Dunki,False,6.292,48
False,/u7kuUaySqXBVAtqEl9vkTkAzHV9.jpg,"[18, 35]",20453,hi,3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",29.988,/66A9MqXOyVFCssoloscw79z8Tew.jpg,2009-12-23,3 Idiots,False,7.995,2245
False,/42vFebJ0VRnwdemaUOIr7c6Tjo1.jpg,"[35, 18]",10757,hi,कभी ख़ुशी कभी ग़म,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.",26.724,/lRl7wrJmkOzMTDVYFSIpUcsIjPQ.jpg,2001-12-14,Kabhi Khushi Kabhie Gham,False,7.7,509
False,/nVe6ma4KyMjGpy3uNvU65mhcCw9.jpg,"[10751, 35, 10749]",753522,hi,तेरा क्या होगा लवली,The film chronicles the story of a dusky girl tamed by prejudices and biases held by the Indian society against dark skin.,18.025,/6YyXQWbKqGjp8M4gQ8tUApPoCys.jpg,2024-03-08,Tera Kya Hoga Lovely,False,0.0,0
False,/4sRrO5evvhDWC8R9qBHm3ZDV8oI.jpg,"[35, 53, 18]",8079,hi,ओम शांति ओम,"Reincarnated 30 years after being killed in a suspicious on-set fire, a small-time actor is determined to punish the person who ignited the blaze.",17.296,/oArsQTD4bPPMtRjqr03SO9W6phF.jpg,2007-11-07,Om Shanti Om,False,7.1,334
False,/50reJgWrWTXK3fvGh8idw71gxAO.jpg,"[18, 36, 10749]",432527,hi,पद्मावत,"Rajputana, India, 13th century. The tyrannical usurper Alauddin Khilji, sultan of Delhi, becomes obsessed with Queen Padmavati, wife of King Ratan Singh of Mewar, and goes to great lengths to satisfy his greed for her.",19.713,/qrvHfnVbx2FLCB5lfhOPnSzg6mS.jpg,2018-01-25,Padmaavat,False,6.896,254
False,/fTLZ3H7leVUeBxaqEKDWtn6pIis.jpg,"[28, 12, 53, 18]",864692,hi,पठान,"A soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.",30.229,/luQFzuHn6IeRdgmXf1DfrYDPO5l.jpg,2023-01-25,Pathaan,False,6.613,150
False,/i1K9Bmq8oO0mkUJRNW7mXIWkzcn.jpg,"[14, 28, 12]",496331,hi,ब्रह्मास्त्र पहला भाग: शिवा,"The story of Shiva – a young man on the brink of an epic love, with a girl named Isha. But their world is turned upside down when Shiva learns that he has a mysterious connection to the Brahmāstra... and a great power within him that he doesn’t understand just yet - the power of Fire.",16.166,/x61qdvHIsr9U53FwoLVDQqAGur0.jpg,2022-09-08,Brahmāstra Part One: Shiva,False,6.513,151
False,/eiFf7KGC4VK60mVKA5K4KvB39X4.jpg,"[10749, 18]",11854,hi,कुछ कुछ होता है,"Per her mother's last wish, an 8 year old girl sets out to reunite her father with his college best friend who was in love with him.",16.95,/5FmtHHDGPofW5Zjns1EM1D8503c.jpg,1998-10-16,Kuch Kuch Hota Hai,False,7.5,360
False,/s7oObbrQrfTvcIwvmcGTUdnMCiw.jpg,"[18, 10749]",26022,hi,My Name Is Khan,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",24.054,/5Y36lCiNyyV71mjq6LavgiggbhT.jpg,2010-02-10,My Name Is Khan,False,8.0,1243
False,/3AzXdOm4Ul4Q9rmge4Otu5hcXZ1.jpg,"[36, 10749, 18]",362045,hi,बाजीराव मस्तानी,"Peshwa Bajirao married to Kashibai, falls in love with Mastani, a warrior princess in distress. They struggle to make their love triumph amid opposition from his conservative family.",19.284,/a3kM4CBTSI4NC8KYeSRJCh55liV.jpg,2015-12-18,Bajirao Mastani,False,7.3,266
False,/n9QCm8uagvmXH476u5qFQsW8HkU.jpg,"[35, 18, 28]",348892,hi,बजरंगी भाईजान,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,17.28,/rNfToRJw35h7a4y6HXGRgfkLvdc.jpg,2015-07-17,Bajrangi Bhaijaan,False,7.806,449
False,/7mZwzE4EWRXBPTQcd2W32vF4eZC.jpg,"[18, 35]",875188,hi,खो गए हम कहाँ,"Three best friends juggle life as 20-somethings in Mumbai, where romance, ambition and heartbreak collide with the addictive draw of social media.",19.107,/6t6nQ7EHUEoZ2WQWm2zwtJRQ6pS.jpg,2023-12-26,Kho Gaye Hum Kahan,False,6.487,39
False,/jRGqzkU7rZ0aXoD2sxtWoyp7Fr4.jpg,"[18, 53]",376869,hi,नीरजा,"Neerja is a portrayal on the life of the courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization.",12.494,/alDRJWHI1TfqB9ev6cMbVE5P92x.jpg,2016-02-19,Neerja,False,7.325,214
False,/Wi9bgiwfJPYKFcJIiUqCNDFNtf.jpg,"[10749, 35]",185008,hi,ये जवानी है दीवानी,Bunny and Naina meet when they graduate from college and again in their late 20s.,13.108,/em39H81XLCDgXsI7V4IcBZseEO6.jpg,2013-05-31,Yeh Jawaani Hai Deewani,False,7.2,243
False,/7w06baRS9VPm5RYz8lawTCLiR4j.jpg,"[28, 80, 53]",592508,hi,Sooryavanshi,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",23.097,/oCymRm6FG62zrKnXiHHJvDgkYoA.jpg,2021-11-05,Sooryavanshi,False,5.8,150
False,/AcLsfw3TVZGFFT8yRA5StPKk65y.jpg,"[35, 18, 10749]",14072,hi,रब ने बना दी जोड़ी,"A lonely 40-ish man, likely to remain a bachelor, has a chance to find the love of his life when he falls for a vivacious young woman.",18.316,/m8x6I2qf3R98HtF4DmJXcdxCU64.jpg,2008-12-11,Rab Ne Bana Di Jodi,False,7.099,262
False,/5dF4FNwM2qZIuF0WCUs5zvDGU2H.jpg,[18],7508,hi,तारे ज़मीन पर,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",24.313,/fwXhw9bERqKrJfJK6WGakPIh3FS.jpg,2007-12-21,Like Stars on Earth,False,7.998,1090
False,/gxfvtq5eYiClS2X7hxAAPBNrbWA.jpg,"[35, 18, 12, 878]",297222,hi,पीके,"A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go.",16.457,/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg,2014-12-18,PK,False,7.705,928
False,/A3xIs6QYgOOiOK0vqT7boxlAJll.jpg,"[35, 18]",447856,hi,Pad Man,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",13.086,/kHyoFs6BIJJwCaFlWu6P5Bnpa70.jpg,2018-02-09,Pad Man,False,7.4,194
False,/niOqGpLXfJJOSzJy23oyvymY2vD.jpg,"[18, 10749]",11518,hi,मोहब्बतें,"At a prestigious all-male university, three friends seek love outside of the school grounds; at the same time, a newly-hired music teacher seeks to befriend and loosen up the militantly strict headmaster.",15.822,/zB7zJQgk4pPoxsPzZP0CqUgHuXN.jpg,2000-10-27,Mohabbatein,False,6.966,219
False,/6JpbbREGqdEtePnCwxJRcTNX2jZ.jpg,"[10749, 35, 28]",205022,hi,Chennai Express,"Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route, he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India, an unanticipated drive awaits them.",21.055,/9LZgpUyFEvqHaDVuveE002mhgTi.jpg,2013-08-08,Chennai Express,False,6.505,311
False,/xXABOEnWAtsGmlAhxWbgObWkkt9.jpg,"[18, 10749]",14395,hi,कभी अलविदा ना कहना,"Dev and Maya are both married to different people. Settled into a life of domestic ritual, and convinced that they are happy in their respective relationships, they still yearn for something deeper and more meaningful, which is precisely what they find in each other.",13.547,/dkYQgRPuik4FGIUdGGVYGQJWrHa.jpg,2006-08-11,Kabhi Alvida Naa Kehna,False,6.438,194
False,/vBmmJYv5asJpdJZsyPPc4MMpfBe.jpg,"[80, 53]",1018228,hi,चोर निकल के भागा,A flight attendant and her boyfriend must steal a cache of diamonds to clear an old debt — but the plan spins into a mayhem when the plane gets hijacked.,17.838,/1MIDERaEUMw1rYDM99tGZPY80Ap.jpg,2023-03-24,Chor Nikal Ke Bhaga,False,7.1,109
False,/kqSxCsGIT4rqrZTTMpYP8RIzojv.jpg,"[28, 12, 53]",720557,hi,Tiger 3,"Following the events of Tiger Zinda Hai, War, and Pathaan, Avinash Singh Rathore returns as Tiger but this time the battle is within. He has to choose between his country or family as an old enemy is after his life, who claims that his family was killed by Tiger. He holds Tiger captive in Pakistan as the Indian agent's loyalty towards his country faces its biggest test.",15.557,/7wgED7Yx9VLcNWSO91VgwicHmMD.jpg,2023-11-12,Tiger 3,False,6.034,29
False,/fgRhyGbMAolDsQ65VRBRBtVQZNn.jpg,"[35, 18, 36, 10749]",7913,hi,रंग दे बसंती,"After a group of friends graduate from Delhi University, they listlessly haunt their old campus, until a British filmmaker casts them in a film she's making about freedom fighters under British rule. Although the group is largely apolitical, the tragic death of a friend owing to local government corruption awakens their patriotism. Inspired by the freedom fighters they represent in the film, the friends collectively decide to avenge the killing.",14.687,/f1bF8CHzEu621bPSIg6XiUNAabh.jpg,2006-01-26,Rang De Basanti,False,7.139,413
False,/lXI2fhjeoah5d5pxoR9GMogb6Q3.jpg,"[12, 28, 878]",41517,hi,Ra.One,"When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save their creator's family.",14.423,/mXlS41qbd0bzhO44iPDtJqYtQt8.jpg,2011-10-24,Ra.One,False,5.705,315
False,/iBIWEBAlDkDkjVF1kaCHcLfawkV.jpg,"[10749, 18]",33142,hi,विवाह,"Poonam, a traditionally brought-up young woman, is to marry Prem, a groom chosen by her uncle. Poonam and Prem's faith and love are to be tested however, when an accident occurs and Poonam might be scarred for life.",13.002,/e5zFYX3hW1TNeFCzRw7ET2DxRPm.jpg,2006-11-10,Vivah,False,6.462,78
False,/zTT7ChHn4TWvfTz5EPAPAF1J9Hj.jpg,"[28, 10749, 53]",14070,hi,गजनी,"A man suffering from anterograde amnesia as a result of a violent attack in the past sets out to avenge his girlfriend's death with the aid of photographs, notes and tattoos all over his body.",15.156,/cPLzHxPFRjzNvoyncdtDGBAxjp.jpg,2008-12-25,Ghajini,False,7.024,374
False,/lJhFmVcLTy2i4gRfw9XtcuGYozM.jpg,"[18, 10749]",4251,hi,वीर-ज़ारा,"Squadron Leader Veer Pratap Singh, a pilot in the Indian air force, rescues the stranded Zaara, a woman from Pakistan, following a bus accident, and their lives are forever bound.",15.368,/7rc8qXMjMcemhVFjKP2JWCS1Wpz.jpg,2004-11-12,Veer-Zaara,False,7.409,246
False,/l0YKBu3LaehIFzBNjseLjx7MbaN.jpg,"[14, 27]",538858,hi,तुम्बाड,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",17.866,/z1xOCxw780WFJC5uCTMfCkQ4Agi.jpg,2018-10-12,Tumbbad,False,7.48,224
False,/5vWEcjru7dUIuTgMbwOVfuGMU60.jpg,"[18, 28, 53, 80]",14194,hi,धूम २,"Jai and Ali return, this time on the trail of an international thief who steals priceless artifacts and has chosen Mumbai as his next target.",12.088,/3zJLnrP9g9LSMpX5C1wau49gGUv.jpg,2006-11-24,Dhoom 2,False,6.576,229
